,REGIAO,UF,QTD_EscolasMed,ProporçãoBR,Proporção_Região
0,Centro-Oeste,DF,6,2,20
1,Centro-Oeste,GO,12,4,40
2,Centro-Oeste,MS,5,2,17
3,Centro-Oeste,MT,7,2,23
4,Nordeste,AL,4,1,5
5,Nordeste,BA,28,8,33
6,Nordeste,CE,9,3,11
7,Nordeste,MA,9,3,11
8,Nordeste,PB,9,3,11
9,Nordeste,PE,12,4,14
10,Nordeste,PI,7,2,8
11,Nordeste,RN,5,2,6
12,Nordeste,SE,2,1,2
13,Norte,AC,3,1,8
14,Norte,AM,6,2,16
15,Norte,AP,1,0,3
16,Norte,PA,9,3,24
17,Norte,RO,10,3,26
18,Norte,RR,2,1,5
19,Norte,TO,7,2,18
20,Sudeste,ES,6,2,5
21,Sudeste,MG,44,13,35
22,Sudeste,RJ,18,5,15
23,Sudeste,SP,56,17,45
24,Sul,PR,18,5,34
25,Sul,RS,20,6,38
26,Sul,SC,15,5,28
