,NU_ANO_CENSO,SG_UF,yhat_adjusted,QT_VG_TOTAL,error_percentage,rolling_yhat_adjusted,MA_yhat_adjusted
0,2009,AC,26.063918964836834,40,34.84020258790792,26.06,26.06
1,2009,AL,84.70773663571971,130,34.84020258790792,84.71,84.71
2,2009,AM,146.60954417720717,225,34.840202587907925,146.61,146.61
3,2009,BA,390.95878447255245,600,34.840202587907925,390.96,390.96
4,2009,CE,405.29393990321273,622,34.84020258790792,405.29,405.29
5,2009,DF,205.904959822211,316,34.84020258790792,205.9,205.9
6,2009,ES,325.79898706046043,500,34.84020258790792,325.8,325.8
7,2009,GO,149.8675340478118,230,34.84020258790792,149.87,149.87
8,2009,MA,149.8675340478118,230,34.84020258790792,149.87,149.87
9,2009,MG,1797.7588105996206,2759,34.84020258790792,1797.76,1797.76
10,2009,MS,112.07485154879838,172,34.84020258790792,112.07,112.07
11,2009,MT,153.1255239184164,235,34.84020258790792,153.13,153.13
12,2009,PA,254.12320990715912,390,34.84020258790792,254.12,254.12
13,2009,PB,380.53321688661777,584,34.84020258790792,380.53,380.53
14,2009,PE,358.3788857665064,550,34.840202587907925,358.38,358.38
15,2009,PI,195.47939223627623,300,34.840202587907925,195.48,195.48
16,2009,PR,486.09208869420695,746,34.84020258790792,486.09,486.09
17,2009,RJ,1507.14611414169,2313,34.84020258790791,1507.15,1507.15
18,2009,RN,105.55887180758917,162,34.84020258790792,105.56,105.56
19,2009,RO,175.9314530126486,270,34.840202587907925,175.93,175.93
20,2009,RR,18.244743275385783,28,34.84020258790792,18.24,18.24
21,2009,RS,584.483382786466,897,34.84020258790792,584.48,584.48
22,2009,SC,378.57842296425497,581,34.84020258790792,378.58,378.58
23,2009,SE,65.15979741209209,100,34.84020258790791,65.16,65.16
24,2009,SP,1808.8359761596762,2776,34.84020258790792,1808.84,1808.84
25,2009,TO,221.54331120111306,340,34.840202587907925,221.54,221.54
26,2010,AC,34.008953482801374,40,14.977616292996565,30.04,30.04
27,2010,AL,110.52909881910446,130,14.977616292996569,97.62,97.62
28,2010,AM,282.27431390725144,332,14.977616292996554,214.44,214.44
29,2010,AP,25.50671511210103,30,14.977616292996565,25.51,25.51
30,2010,BA,498.23116852304014,586,14.977616292996561,444.59,444.59
31,2010,CE,554.3459417696624,652,14.97761629299656,479.82,479.82
32,2010,DF,266.97028483999077,314,14.97761629299657,236.44,236.44
33,2010,ES,425.1119185350172,500,14.97761629299656,375.46,375.46
34,2010,GO,246.56491275030996,290,14.977616292996565,198.22,198.22
35,2010,MA,195.5514825261079,230,14.97761629299657,172.71,172.71
36,2010,MG,2244.5909298648908,2640,14.977616292996561,2021.17,2021.17
37,2010,MS,161.54252904330653,190,14.977616292996561,136.81,136.81
38,2010,MT,176.84655811056714,208,14.977616292996565,164.99,164.99
39,2010,PA,333.28774413145345,392,14.977616292996569,293.71,293.71
40,2010,PB,450.61863364711814,530,14.977616292996576,415.58,415.58
41,2010,PE,352.84289238406427,415,14.977616292996561,355.61,355.61
42,2010,PI,263.56938949171064,310,14.977616292996569,229.52,229.52
43,2010,PR,631.7163109430356,743,14.977616292996549,558.9,558.9
44,2010,RJ,2060.0923572206934,2423,14.977616292996556,1783.62,1783.62
45,2010,RN,209.15506391922844,246,14.97761629299657,157.36,157.36
46,2010,RO,195.5514825261079,230,14.97761629299657,185.74,185.74
47,2010,RR,28.05738662331113,33,14.97761629299657,23.15,23.15
48,2010,RS,823.8668981208633,969,14.977616292996561,704.18,704.18
49,2010,SC,475.27512492214925,559,14.977616292996556,426.93,426.93
50,2010,SE,127.53357556050517,150,14.977616292996554,96.35,96.35
51,2010,SP,2487.75494726692,2926,14.977616292996574,2148.3,2148.3
52,2010,TO,340.08953482801377,400,14.977616292996556,280.82,280.82
53,2011,AC,41.51562620476724,40,3.7890655119180923,33.86,37.76
54,2011,AL,134.92578516549352,130,3.7890655119180936,110.05,122.73
55,2011,AM,303.06407129480084,292,3.789065511918096,243.98,292.67
56,2011,AP,31.136719653575426,30,3.789065511918087,28.32,28.32
57,2011,BA,601.9765799691248,580,3.7890655119180736,497.06,550.1
58,2011,CE,697.4625202400896,672,3.7890655119180936,552.37,625.9
59,2011,DF,315.51875915623094,304,3.789065511918073,262.8,291.24
60,2011,ES,518.9453275595904,500,3.7890655119180794,423.29,472.03
61,2011,GO,300.9882899845624,290,3.7890655119180736,232.47,273.78
62,2011,MA,265.7000077105103,256,3.7890655119180883,203.71,230.63
63,2011,MG,2781.5469557194047,2680,3.7890655119180843,2274.63,2513.07
64,2011,MS,186.82031792145258,180,3.789065511918103,153.48,174.18
65,2011,MT,215.88125626478964,208,3.7890655119180967,181.95,196.36
66,2011,PA,407.89102746183806,393,3.789065511918083,331.77,370.59
67,2011,PB,503.3769677328027,485,3.7890655119180847,444.84,477.0
68,2011,PE,508.5664210083986,490,3.789065511918083,406.6,430.7
69,2011,PI,321.7461030869461,310,3.7890655119180985,260.26,292.66
70,2011,PR,857.2976811284434,826,3.7890655119180874,658.37,744.51
71,2011,RJ,2441.1188208403137,2352,3.7890655119180985,2002.79,2250.61
72,2011,RN,255.3211011593185,246,3.7890655119180847,190.01,232.24
73,2011,RO,176.44141137026074,170,3.789065511918081,182.64,186.0
74,2011,RR,31.136719653575426,30,3.789065511918087,25.81,29.6
75,2011,RS,1022.3222952923933,985,3.7890655119180994,810.22,923.09
76,2011,SC,659.0605660006798,635,3.7890655119180856,504.3,567.17
77,2011,SE,155.68359826787713,150,3.789065511918087,116.13,141.61
78,2011,SP,2955.912585779427,2848,3.789065511918083,2417.5,2721.83
79,2011,TO,415.1562620476723,400,3.789065511918082,325.6,377.62
80,2012,AC,44.90434996334118,40,12.260874908352957,40.14,43.21
81,2012,AL,145.93913738085885,130,12.260874908352964,130.46,140.43
82,2012,AM,333.4147984778083,297,12.26087490835296,306.25,318.24
83,2012,AP,33.67826247250589,30,12.260874908352974,30.11,32.41
84,2012,BA,890.228738023239,793,12.26087490835296,663.48,746.1
85,2012,CE,776.8452543658025,692,12.260874908352958,676.22,737.15
86,2012,DF,341.273059721393,304,12.260874908352958,307.92,328.4
87,2012,ES,561.3043745417649,500,12.26087490835298,501.79,540.12
88,2012,GO,415.36523716090596,370,12.260874908352964,320.97,358.18
89,2012,MA,258.2000122892118,230,12.26087490835297,239.82,261.95
90,2012,MG,3148.9175411793008,2805,12.26087490835297,2725.02,2965.23
91,2012,MS,213.29566232587067,190,12.260874908352983,187.22,200.06
92,2012,MT,208.8052273295365,186,12.26087490835296,200.51,212.34
93,2012,PA,441.18523838982713,393,12.26087490835296,394.12,424.54
94,2012,PB,696.0174244317884,620,12.260874908352971,550.0,599.7
95,2012,PE,729.6956869042943,650,12.260874908352976,530.37,619.13
96,2012,PI,348.0087122158942,310,12.260874908352971,311.11,334.88
97,2012,PR,1106.8922265963604,986,12.260874908352982,865.3,982.09
98,2012,RJ,2507.9079454526054,2234,12.260874908352973,2336.37,2474.51
99,2012,RN,276.1617522745483,246,12.260874908352964,246.88,265.74
100,2012,RO,280.65218727088245,250,12.26087490835298,217.55,228.55
101,2012,RR,31.43304497433883,28,12.260874908352967,30.21,31.28
102,2012,RS,1111.3826615926944,990,12.260874908352967,985.86,1066.85
103,2012,SC,704.9982944244566,628,12.260874908352964,613.11,682.03
104,2012,SE,224.52174981670595,200,12.260874908352974,169.25,190.1
105,2012,SP,3568.7732133365407,3179,12.260874908352964,3004.15,3262.34
106,2012,TO,404.1391496700707,360,12.260874908352974,386.46,409.65
107,2013,AC,55.693568493985445,45,23.76348554218988,47.37,50.3
108,2013,AL,165.84307062653446,134,23.76348554218989,148.9,155.89
109,2013,AM,367.577552060304,297,23.763485542189905,334.69,350.5
110,2013,AP,40.84195022892266,33,23.763485542189887,35.22,37.26
111,2013,BA,988.8702494820973,799,23.763485542189898,827.03,939.55
112,2013,CE,875.0078427832825,707,23.763485542189887,783.11,825.93
113,2013,DF,441.83564338561786,357,23.763485542189876,366.21,391.55
114,2013,ES,742.5809132531393,600,23.763485542189887,607.61,651.94
115,2013,GO,532.1829878314165,430,23.763485542189894,416.18,473.77
116,2013,MA,352.7259337952412,285,23.76348554218989,292.21,305.46
