,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y,percentage_error,actual_growth_rate,predicted_growth_rate
0,2009-01-01,-22674.9674096,420799.8277883515,804985.1973058466,-22674.9674096,-22674.9674096,640624.6924233249,640624.6924233249,640624.6924233249,640624.6924233249,640624.6924233249,640624.6924233249,0.0,0.0,0.0,617949.7250137249,386231.0,59.9948541193547,,
1,2010-01-01,17165.162270349447,519826.95036314055,867555.4456687135,17165.162270349447,17165.162270349447,681386.9565984334,681386.9565984334,681386.9565984334,681386.9565984334,681386.9565984334,681386.9565984334,0.0,0.0,0.0,698552.1188687829,542007.0,28.882490238831394,0.4033233997271064,0.13043519657407043
2,2011-01-01,57005.28995065481,586922.9395456059,960786.3808296156,57005.28995065481,57005.28995065481,720862.0655202909,720862.0655202909,720862.0655202909,720862.0655202909,720862.0655202909,720862.0655202909,0.0,0.0,0.0,777867.3554709457,691342.0,12.515564723529845,0.2755222718525776,0.11354233200323538
3,2012-01-01,96845.41829627531,677736.4587404447,1039478.2736395112,96845.41829627531,96845.41829627531,759001.6482304133,759001.6482304133,759001.6482304133,759001.6482304133,759001.6482304133,759001.6482304133,0.0,0.0,0.0,855847.0665266886,849619.0,0.7330422844461618,0.2289416815411185,0.10024808279623909
4,2013-01-01,136794.5174218028,590788.8581791584,965371.4815481363,136794.5174218028,136794.5174218028,640624.6924233378,640624.6924233378,640624.6924233378,640624.6924233378,640624.6924233378,640624.6924233378,0.0,0.0,0.0,777419.2098451406,978974.0,20.588370084890858,0.15225059703231691,-0.0916376999454287
5,2014-01-01,176634.46512238035,671926.8884019429,1028007.9927774677,176634.46512238035,176634.46512238035,681386.9565985872,681386.9565985872,681386.9565985872,681386.9565985872,681386.9565985872,681386.9565985872,0.0,0.0,0.0,858021.4217209676,1080304.0,20.575928468193432,0.10350632396774584,0.10367921303601801
6,2015-01-01,216474.41124989282,748127.219380374,1115707.9843081257,216474.41124989282,216474.41124989282,720862.0655202888,720862.0655202888,720862.0655202888,720862.0655202888,720862.0655202888,720862.0655202888,0.0,0.0,0.0,937336.4767701816,1145264.0,18.155422961851457,0.06013122232260559,0.09243948116135448
7,2016-01-01,256314.20084214042,821163.5783619042,1195225.625075463,256314.20084214042,256314.20084214042,759001.6482304286,759001.6482304286,759001.6482304286,759001.6482304286,759001.6482304286,759001.6482304286,0.0,0.0,0.0,1015315.849072569,1084139.0,6.3481851429965115,-0.05337197362354884,0.0831925079573177
8,2017-01-01,296263.14006519807,743427.6919298787,1129428.2645650022,296263.14006519807,296263.14006519807,640624.6924233375,640624.6924233375,640624.6924233375,640624.6924233375,640624.6924233375,640624.6924233375,0.0,0.0,0.0,936887.8324885356,1071751.0,12.583442190533479,-0.011426579064123699,-0.0772449446698511
9,2018-01-01,336102.92693661,830312.472805421,1198320.8263307007,336102.92693661,336102.92693661,681386.9565984459,681386.9565984459,681386.9565984459,681386.9565984459,681386.9565984459,681386.9565984459,0.0,0.0,0.0,1017489.8835350559,1052593.0,3.3349182889249778,-0.01787542069006698,0.08603169798077892
10,2019-01-01,375942.71495859325,912748.8566985336,1268997.8534577556,375942.71495859325,375942.71495859325,720862.0655203202,720862.0655203202,720862.0655203202,720862.0655203202,720862.0655203202,720862.0655203202,0.0,0.0,0.0,1096804.7804789133,1075264.0,2.0033015593299264,0.021538239376473145,0.07795153369809871
11,2020-01-01,415782.5046197871,978671.5691385542,1365499.169001835,415782.5046197871,415782.5046197871,759001.64823037,759001.64823037,759001.64823037,759001.64823037,759001.64823037,759001.64823037,0.0,0.0,0.0,1174784.152850157,1067303.0,10.070350486240281,-0.0074037631688590455,0.07109685675986444
12,2021-01-01,455731.44438964175,920775.644069481,1280087.4927248685,455731.44438964175,455731.44438964175,640624.6924234176,640624.6924234176,640624.6924234176,640624.6924234176,640624.6924234176,640624.6924234176,0.0,0.0,0.0,1096356.1368130594,1000771.0,9.551149744852664,-0.062336562344526336,-0.06675951139349523
13,2022-01-01,495571.2340508356,978373.6437705234,1365487.6257299779,495571.2340508356,495571.2340508356,681386.9565984972,681386.9565984972,681386.9565984972,681386.9565984972,681386.9565984972,681386.9565984972,0.0,0.0,0.0,1176958.190649333,1011948.0,16.306192674854138,0.011168389171948512,0.07351813076959779
14,2023-12-31,575141.6632645625,1295813.187265811,1646139.2510254371,575141.5825858893,575141.7338141954,897311.3272101178,897311.3272101178,897311.3272101178,897311.3272101178,897311.3272101178,897311.3272101178,0.0,0.0,0.0,1472452.9904746804,,,0.0,0.25106652230553883
